year,recycled,incinerated,discarded
1980,0,0,100
1981,0,1.7,98.3
1982,0,2.4,97.6
1983,0,3.1,96.9
1984,0,3.8,96.2
1985,0,4.5,95.5
1986,0,5.2,94.8
1987,0,5.9,94.1
1988,0.6,6.6,92.8
1989,0.3,7.3,91.4
1990,2,8,90
1991,2.7,8.7,88.6
1992,3.4,9.4,87.2
1993,4.1,10.1,85.8
1994,4.8,10.8,84.4
1995,5.5,11.5,83
1996,6.2,12.2,81.6
1997,6.9,12.9,80.2
1998,7.6,13.6,78.8
1999,8.3,14.3,77.4
2000,9,15,76
2001,9.7,15.7,74.6
2002,10.4,16.4,73.2
2003,11.1,17.1,71.8
2004,11.8,17.8,70.4
2005,12.5,18.5,69
2006,13.2,19.2,67.7
2007,13.9,19.9,66.2
2008,14.6,20.6,64.8
2009,15.3,21.3,63.4
2010,16,22,62
2011,16.7,22.7,60.6
2012,17.4,23.4,59.2
2013,18.1,24.1,57.8
2014,18.8,24.8,56.4
2015,19.5,25.5,55
